#id,enabled / disabled,list of ship types for building,"chance to have, percent",,,type of part,comes in paires (around centerline axis),"group, use same part data for same group",necessary present param of part,put at centerline,put to sides,range-z [-1;+1] define range from back to front of ship,see previos,filtering condition,"additional params:
            delete_unmounted - delete parts of type with no other parts mounted in it;
                scheme(s) - place part only on hulls with specific hulls;
mount(m...), !mount(m...) - demand/exclude types of mounts;
and/or - operation on list of conditions: tag (tag required), !tag (no tag), zero (tech variable is zero), !zero (tech variable is not zero);",,
@name,enabled,shipTypes,chance,min,max,type,paired,group,effect,center,side,rangeZFrom,rangeZTo,condition,param,#,#
default,1,,100,1,1,,,,,f,f,-1,1,,,,
#,,"#bb, bc",,,,,,,,,,,,,,,
5/barbette//b/main_super/c///and(tag[barbette_need]),,"bb, bc",,1,1,barbette,,b,main_super,c,,0.11,1,,and(tag[barbette_need]),,
"6/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[barbette_need])",,"bb, bc",,1,1,gun,,mc,main_center,c,,0.11,1,main_cal,"mount(barbette), or(tag[barbette_need])",,
"7/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[barbette_need];tag[No_Barb])",,"bb, bc",,1,1,gun,,mc,main_center,c,,0.11,1,main_cal,"mount(barbette), or(tag[barbette_need];tag[No_Barb])",,
8/tower_main///////and(tag[barbette_need]),,"bb, bc",,1,1,tower_main,,,,,,-1,1,,and(tag[barbette_need]),,
9/tower_main///////or(tag[Command_Forward]),,"bb, bc",,1,1,tower_main,,,,,,-0.1,1,,or(tag[Command_Forward]),,
10/tower_sec///////or(tag[Command_Forward]),,"bb, bc",,1,1,tower_sec,,,,,,-1,-0.1,,or(tag[Command_Forward]),,
11/funnel///////or(tag[Command_Forward]),,"bb, bc",,1,2,funnel,,,,,,-1,1,,or(tag[Command_Forward]),,
"12/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[hullbarbette])",,
13/tower_main///////or(tag[hullbarbette]),,"bb, bc",,1,1,tower_main,,,,,,-0.01,1,,or(tag[hullbarbette]),,
14/funnel///////or(tag[hullbarbette]),,"bb, bc",,2,2,funnel,,,,,,-1,1,,or(tag[hullbarbette]),,
15/tower_sec///////or(tag[hullbarbette]),,"bb, bc",,1,1,tower_sec,,,,,,-1,1,,or(tag[hullbarbette]),,
16/barbette///main_super_huge/c///or(tag[hullbarbette]),,"bb, bc",,1,1,barbette,,,main_super_huge,c,,-1,1,,or(tag[hullbarbette]),,
"17/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,0.01,main_cal,"mount(barbette), or(tag[hullbarbette])",,
18/gun//mc/main_center/c//main_cal/or(tag[hullbarbette]),,"bb, bc",,1,1,gun,,mc,main_center,c,,0.5,1,main_cal,or(tag[hullbarbette]),,
19/gun//mc/main_center/c//main_cal/or(tag[hullbarbette]),,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,-0.5,main_cal,or(tag[hullbarbette]),,
"20/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[newyork_style])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[newyork_style])",,
21/tower_main///////or(tag[newyork_style]),,"bb, bc",,1,1,tower_main,,,,,,-0.2,1,,or(tag[newyork_style]),,
22/gun//mc/main_center/c//main_cal/or(tag[newyork_style]),,"bb, bc",,1,2,gun,,mc,main_center,c,,0.5,1,main_cal,or(tag[newyork_style]),,
23/barbette///main_super/c///or(tag[newyork_style]),,"bb, bc",,1,1,barbette,,,main_super,c,,-1,1,,or(tag[newyork_style]),,
24/gun//mc/main_center/c//main_cal/or(tag[newyork_style]),,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,-0.2,main_cal,or(tag[newyork_style]),,
25/tower_sec///////or(tag[newyork_style]),,"bb, bc",,1,1,tower_sec,,,,,,-1,1,,or(tag[newyork_style]),,
26/funnel///////or(tag[newyork_style]),,"bb, bc",,1,2,funnel,,,,,,-1,1,,or(tag[newyork_style]),,
27/gun//mc/main_center/c//main_cal/or(tag[newyork_style]),,"bb, bc",,2,2,gun,,mc,main_center,c,,-1,1,main_cal,or(tag[newyork_style]),,
"28/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[newyork_style])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[newyork_style])",,
29/tower_main///////or(tag[sec_tower_little_room]),,"bb, bc",,1,1,tower_main,,,,,,-1,1,,or(tag[sec_tower_little_room]),,
30/tower_sec///////or(tag[sec_tower_little_room]),,"bb, bc",,1,1,tower_sec,,,,,,-1,1,,or(tag[sec_tower_little_room]),,
31/tower_main///////and(tag[Gun_Sides]),,"bb, bc",,1,1,tower_main,,,,,,0.25,1,,and(tag[Gun_Sides]),,
